,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
1203,23048,female,1956/6/24,62,60-64,2008/11/17,2008,,,0.424661086,0.4-0.44,0.096819632,1288.0,0.0,1.0,0.0,0.0,0.0,1.0,2,C,0
1204,23116,female,1950/9/19,68,65-69,2013/1/11,2013,,,0.410109489,0.4-0.44,0.110303472,1290.0,0.0,1.0,0.0,1.0,0.0,2.0,0,D,0
1205,29517,male,1964/5/6,54,50-54,1995/1/1,1995,,,0.411180841,0.4-0.44,0.109201934,1291.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1206,9007136,male,1954/9/21,64,60-64,2014/4/1,2014,,,0.410876849,0.4-0.44,0.109449572,1292.0,0.0,1.0,1.0,1.0,0.0,3.0,0,C,0
1207,7658,female,1951/5/8,67,65-69,1981/4/21,1981,,,0.410828869,0.4-0.44,0.109447164,1293.0,0.0,1.0,1.0,1.0,0.0,3.0,2,D,0
1208,410313,female,1954/9/3,64,60-64,2016/2/1,2016,,,0.422846607,0.4-0.44,0.096689894,1295.0,0.0,1.0,0.0,0.0,0.0,1.0,0,D,0
1209,406912,male,1962/11/3,56,55-59,2017/3/9,2017,,,0.421093854,0.4-0.44,0.09815543,1296.0,1.0,0.0,0.0,0.0,1.0,2.0,1,D,0
1210,19786,female,1968/7/20,50,45-49,2014/1/11,2014,,,0.409696584,0.4-0.44,0.109126317,1297.0,1.0,0.0,0.0,0.0,0.0,1.0,1,D,0
1211,19289,male,1965/11/27,53,50-54,2016/2/21,2016,,,0.408933279,0.4-0.44,0.109087315,1298.0,1.0,0.0,0.0,0.0,0.0,1.0,1,C,0
1212,20942,female,1947/12/1,71,70-74,2017/12/1,2017,,,0.419786909,0.4-0.44,0.09806384,1299.0,1.0,0.0,0.0,0.0,1.0,2.0,1,C,0
1213,440,male,1949/11/27,69,65-69,2015/6/11,2015,,,0.411586202,0.4-0.44,0.105233097,1301.0,0.0,1.0,1.0,0.0,0.0,2.0,2,B,0
1215,13099,male,1968/3/21,51,50-54,2014/10/22,2014,,,0.406742928,0.4-0.44,0.108974965,1304.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1216,8184,female,1954/7/10,64,60-64,2013/8/1,2013,,,0.41895071,0.4-0.44,0.096410547,1305.0,0.0,1.0,0.0,0.0,0.0,1.0,2,D,0
1217,49869,female,1955/10/26,63,60-64,2009/5/10,2009,,,0.4045935570000001,0.4-0.44,0.110037747,1306.0,0.0,1.0,0.0,1.0,0.0,2.0,2,A,0
1218,106617,male,1971/8/23,47,45-49,2005/2/24,2005,,,0.405135865,0.4-0.44,0.10889213,1307.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1219,18645,male,1950/3/26,69,65-69,2012/8/1,2012,,,0.409771079,0.4-0.44,0.103658394,1308.0,0.0,1.0,1.0,1.0,1.0,4.0,2,C,0
1221,9010351,male,1965/2/17,54,50-54,2001/3/13,2001,,,0.403263033,0.4-0.44,0.108795165,1310.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1222,14884,female,1956/8/2,62,60-64,2014/8/21,2014,,,0.406528976,0.4-0.44,0.104929814,1311.0,0.0,1.0,1.0,0.0,0.0,2.0,2,D,0
1223,132274,female,1948/4/26,70,65-69,2004/4/30,2004,,,0.413722022,0.4-0.44,0.097637102,1312.0,1.0,0.0,0.0,0.0,1.0,2.0,2,C,0
1224,118158,female,1949/5/19,69,65-69,1976/10/4,1976,,,0.40228168,0.4-0.44,0.109013236,1313.0,0.0,1.0,1.0,1.0,0.0,3.0,2,D,0
1225,27402,female,1947/10/28,71,70-74,2011/4/1,2011,,,0.413045076,0.4-0.44,0.097589298,1314.0,1.0,0.0,0.0,0.0,1.0,2.0,1,D,0
1226,42032,male,1963/12/6,55,50-54,2004/12/26,2004,,,0.400550695,0.4-0.44,0.108653917,1315.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
1227,27350,female,1951/5/24,67,65-69,2015/4/1,2015,,,0.412952224,0.4-0.44,0.095978379,1317.0,0.0,1.0,0.0,0.0,0.0,1.0,0,D,0
1228,43857,male,1945/3/28,74,70-74,2013/1/17,2013,,,0.4114507670000001,0.4-0.44,0.097476576,1318.0,1.0,0.0,0.0,0.0,1.0,2.0,2,C,0
1229,369279,female,1973/12/29,45,40-44,2000/2/2,2000,,,0.410808002,0.4-0.44,0.097431077,1320.0,1.0,0.0,0.0,0.0,1.0,2.0,1,A,0
1232,136218,male,1952/5/28,66,65-69,2012/4/1,2012,,,0.398277865,0.35000000000000003-0.39,0.108806622,1323.0,0.0,1.0,1.0,1.0,0.0,3.0,2,C,0
1233,371160,female,1973/3/19,46,45-49,2016/6/20,2016,,,0.409007794,0.4-0.44,0.097303484,1324.0,1.0,0.0,0.0,0.0,1.0,2.0,0,C,0
1234,17530,female,1949/4/23,69,65-69,2015/12/1,2015,,,0.410479856,0.4-0.44,0.095799542,1325.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1235,20101,female,1953/12/25,65,60-64,2016/8/1,2016,,,0.409674971,0.4-0.44,0.095741233,1326.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1236,23273,male,1947/1/8,72,70-74,1960/6/1,1960,,,0.395716986,0.35000000000000003-0.39,0.108399815,1327.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
1238,405956,male,1957/11/23,61,60-64,2011/7/25,2011,,,0.406366763,0.4-0.44,0.095501121,1329.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1241,37473,female,1954/4/7,64,60-64,2016/4/1,2016,,,0.403509534,0.4-0.44,0.095293163,1332.0,0.0,1.0,0.0,0.0,0.0,1.0,1,A,0
1242,27336,female,1952/10/1,66,65-69,2001/4/1,2001,,,0.388297799,0.35000000000000003-0.39,0.109228278,1333.0,0.0,1.0,0.0,1.0,0.0,2.0,2,A,0
1243,7329,female,1949/10/4,69,65-69,2010/7/1,2010,,,0.38679722,0.35000000000000003-0.39,0.109151931,1334.0,0.0,1.0,0.0,1.0,0.0,2.0,2,D,0
1244,9709,female,1950/4/7,68,65-69,2016/8/16,2016,,,0.400599689,0.4-0.44,0.095080834,1335.0,0.0,1.0,0.0,0.0,0.0,1.0,0,D,0
1246,11598,female,1949/7/4,69,65-69,2011/4/1,2011,,,0.391540307,0.35000000000000003-0.39,0.102502236,1337.0,0.0,1.0,1.0,1.0,1.0,4.0,1,D,0
1247,108639,male,1975/10/10,43,40-44,2003/6/11,2003,,,0.389513845,0.35000000000000003-0.39,0.10388881,1338.0,0.0,1.0,1.0,0.0,0.0,2.0,0,D,0
1251,16326,female,1951/1/25,68,65-69,2011/4/1,2011,,,0.397326959,0.35000000000000003-0.39,0.094841382,1342.0,0.0,1.0,0.0,0.0,0.0,1.0,1,B,0
1252,9073005,female,1950/4/28,68,65-69,2006/3/28,2006,,,0.389308349,0.35000000000000003-0.39,0.102358398,1343.0,0.0,1.0,1.0,1.0,1.0,4.0,0,B,0
1253,17903,female,1955/7/4,63,60-64,2014/1/1,2014,,,0.396800401,0.35000000000000003-0.39,0.094802793,1344.0,0.0,1.0,0.0,0.0,0.0,1.0,2,C,0
1254,40483,male,1964/9/30,54,50-54,2008/8/18,2008,,,0.383282639,0.35000000000000003-0.39,0.107732337,1345.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1256,341397,male,1950/1/18,69,65-69,2009/4/11,2009,,,0.380854374,0.35000000000000003-0.39,0.108846626,1348.0,0.0,1.0,0.0,1.0,0.0,2.0,2,D,0
1258,27168,male,1948/9/27,70,65-69,2016/9/21,2016,,,0.379755936,0.35000000000000003-0.39,0.107539458,1351.0,1.0,0.0,0.0,0.0,0.0,1.0,1,D,0
1259,7862,female,1954/11/7,64,60-64,1991/6/1,1991,,,0.392190032,0.35000000000000003-0.39,0.094464186,1352.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1260,121228,male,1949/4/19,69,65-69,2015/4/1,2015,,,0.383042258,0.35000000000000003-0.39,0.103484759,1353.0,0.0,1.0,1.0,0.0,0.0,2.0,2,A,0
1261,1471,male,1952/10/2,66,65-69,2015/8/1,2015,,,0.3917848920000001,0.35000000000000003-0.39,0.094434369,1354.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1263,367556,male,1961/8/8,57,55-59,2002/8/1,2002,,,0.382767907,0.35000000000000003-0.39,0.101934107,1357.0,0.0,1.0,1.0,1.0,1.0,4.0,2,C,0
1264,407245,male,1950/5/26,68,65-69,2012/12/11,2012,,,0.380844919,0.35000000000000003-0.39,0.103346578,1358.0,0.0,1.0,1.0,0.0,0.0,2.0,2,C,0
1266,120378,male,1954/4/5,64,60-64,1999/1/16,1999,,,0.388877326,0.35000000000000003-0.39,0.094220084,1361.0,0.0,1.0,0.0,0.0,0.0,1.0,2,C,0
1268,13866,female,1950/9/1,68,65-69,2012/6/19,2012,,,0.388056382,0.35000000000000003-0.39,0.094159489,1363.0,0.0,1.0,0.0,0.0,0.0,1.0,2,C,0
1269,38332,male,1952/2/8,67,65-69,2013/4/1,2013,,,0.386482465,0.35000000000000003-0.39,0.094043205,1364.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1271,15047,female,1949/12/21,69,65-69,2011/4/13,2011,,,0.382050949,0.35000000000000003-0.39,0.093715012,1367.0,0.0,1.0,0.0,0.0,0.0,1.0,0,C,0
1272,6241,female,1953/4/10,65,60-64,2014/3/1,2014,,,0.381399086,0.35000000000000003-0.39,0.093666639,1368.0,0.0,1.0,0.0,0.0,0.0,1.0,2,B,0
1273,10919,male,1945/11/4,73,70-74,2011/9/19,2011,,,0.36749806,0.35000000000000003-0.39,0.106857074,1369.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1274,1035,male,1951/11/17,67,65-69,2012/3/26,2012,,,0.378783769,0.35000000000000003-0.39,0.09347232,1370.0,0.0,1.0,0.0,0.0,0.0,1.0,2,D,0
1275,51248,female,1969/9/5,49,45-49,2005/8/11,2005,,,0.370852659,0.35000000000000003-0.39,0.101150673,1371.0,0.0,1.0,1.0,1.0,1.0,4.0,2,B,0
1276,402718,male,1949/8/22,69,65-69,2015/10/1,2015,,,0.377778271,0.35000000000000003-0.39,0.093397508,1372.0,0.0,1.0,0.0,0.0,0.0,1.0,2,C,0
1277,27909,female,1951/9/13,67,65-69,2012/4/5,2012,,,0.369275585,0.35000000000000003-0.39,0.10104599,1373.0,0.0,1.0,1.0,1.0,1.0,4.0,2,A,0
1279,23333,male,1975/7/11,43,40-44,2000/5/1,2000,,,0.362245701,0.35000000000000003-0.39,0.106559078,1375.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
